DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL,LOCALITZACIO,LATITUD,LONGITUD
09/03/2014,4,Alt Urgell,251403,Montferrer i Castellbò,0.0,0.27,0.0,0.27,"Montferrer i Castellbò, Alt Urgell, Catalunya",42.3957216,1.3376396
10/03/2014,41,Vallès Oriental,80235,Bigues i Riells,0.03,0.0,0.7,0.03,"Bigues i Riells, Vallès Oriental, Catalunya",41.6829678,2.2083886
10/03/2014,6,Anoia,83020,Vilanova del Camí,0.0,0.01,0.0,0.01,"Vilanova del Camí, Anoia, Catalunya",41.5714336,1.6361449
10/03/2014,41,Vallès Oriental,80462,Cardedeu,0.0,0.01,0.0,0.01,"Cardedeu, Vallès Oriental, Catalunya",41.6385167,2.3558408
10/03/2014,20,Gironès,170405,Canet d'Adri,0.85,0.0,0.0,0.85,"Canet d'Adri, Gironès, Catalunya",42.0332009,2.7377666
10/03/2014,35,Solsonès,251484,Odèn,0.0,0.4,0.0,0.4,"Odèn, Solsonès, Catalunya",42.1288885,1.4503494
10/03/2014,6,Anoia,81043,"Llacuna, la",0.0,0.22,0.0,0.22,"Llacuna, la, Anoia, Catalunya",41.4834893,1.5536357
10/03/2014,29,Priorat,431541,Torroja del Priorat,0.0,1.12,0.0,1.12,"Torroja del Priorat, Priorat, Catalunya",41.2133186,0.809102
11/03/2014,8,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,0.0,0.1,0.0,0.1,"Vandellòs i l'Hospitalet de l'Infant, Baix Camp, Catalunya",40.9985238,0.8493534
11/03/2014,11,Baix Llobregat,80898,Gavà,0.0,0.02,0.0,0.02,"Gavà, Baix Llobregat, Catalunya",41.3050933,2.0063126
12/03/2014,14,Berguedà,82687,Cercs,0.75,0.0,0.0,0.75,"Cercs, Berguedà, Catalunya",42.1463987,1.8606233
12/03/2014,41,Vallès Oriental,81810,"Roca del Vallès, la",0.0,0.2,0.0,0.2,"Roca del Vallès, la, Vallès Oriental, Catalunya",41.5874771,2.3253831
12/03/2014,25,Pallars Jussà,251155,Isona i Conca Dellà,1.1,2.5,0.0,3.6,"Isona i Conca Dellà, Pallars Jussà, Catalunya",42.1290793,1.0046633
12/03/2014,40,Vallès Occidental,82798,Terrassa,1.4,0.1,0.1,1.5,"Terrassa, Vallès Occidental, Catalunya",41.5629623,2.0100492
12/03/2014,3,Alt Penedès,82515,Santa Margarida i els Monjos,0.0,0.1,0.0,0.1,"Santa Margarida i els Monjos, Alt Penedès, Catalunya",41.3213389,1.6623519
12/03/2014,14,Berguedà,82687,Cercs,0.0,0.41,0.0,0.41,"Cercs, Berguedà, Catalunya",42.1463987,1.8606233
12/03/2014,24,Osona,81094,Lluçà,1.7,0.0,0.0,1.7,"Lluçà, Osona, Catalunya",42.0447323,2.4354761
12/03/2014,35,Solsonès,251863,Riner,0.0,0.51,0.0,0.51,"Riner, Solsonès, Catalunya",41.9416574,1.5636188
12/03/2014,4,Alt Urgell,251850,Ribera d'Urgellet,0.0,2.2,0.0,2.2,"Ribera d'Urgellet, Alt Urgell, Catalunya",42.2861046,1.4187688
13/03/2014,31,Ripollès,170366,Campdevànol,0.0,0.1,0.0,0.1,"Campdevànol, Ripollès, Catalunya",42.2230582,2.1680717
13/03/2014,24,Osona,81995,Sant Bartomeu del Grau,0.8,0.0,0.0,0.8,"Sant Bartomeu del Grau, Osona, Catalunya",41.9807659,2.1750391
13/03/2014,4,Alt Urgell,251654,Peramola,0.45,0.05,0.0,0.5,"Peramola, Alt Urgell, Catalunya",42.0577991,1.2678488
13/03/2014,16,Conca de Barberà,430862,Montblanc,0.0,0.11,0.0,0.11,"Montblanc, Conca de Barberà, Catalunya",41.3762309,1.1605628
13/03/2014,19,Garrotxa,171096,Montagut i Oix,0.04,0.16,0.0,0.2,"Montagut i Oix, Garrotxa, Catalunya",42.2309257,2.5967415
14/03/2014,24,Osona,81516,Oristà,0.2,0.0,0.0,0.2,"Oristà, Osona, Catalunya",41.9284562,2.2443914
14/03/2014,5,Alta Ribagorça,251734,"Pont de Suert, el",0.0,0.25,0.0,0.25,"Pont de Suert, el, Alta Ribagorça, Catalunya",42.3980485,0.7432987
14/03/2014,25,Pallars Jussà,252022,Senterada,0.09,0.01,0.0,0.1,"Senterada, Pallars Jussà, Catalunya",42.3249257,0.9366155
14/03/2014,7,Bages,80478,Cardona,0.09,0.0,0.0,0.09,"Cardona, Bages, Catalunya",41.9142758,1.68133
14/03/2014,41,Vallès Oriental,82107,Sant Feliu de Codines,0.0,0.0,0.0,0.0,"Sant Feliu de Codines, Vallès Oriental, Catalunya",41.6885036,2.1646769
15/03/2014,24,Osona,82016,Sant Boi de Lluçanès,0.6,0.0,0.0,0.6,"Sant Boi de Lluçanès, Osona, Catalunya",42.0578411,2.1511135
15/03/2014,15,Cerdanya,170694,Fontanals de Cerdanya,0.75,1.6,0.71,2.35,"Fontanals de Cerdanya, Cerdanya, Catalunya",42.3840589,1.9118567
